Community,Nodes
0,"[569630, 346382]"
1,"[110065, 148519]"
2,"[275744, 410119, 302348, 130189, 452239, 177591, 129370, 546779, 466749]"
3,"[289314, 206874, 451931, 397487]"
4,"[479806, 236959]"
5,"[535148, 532964]"
6,"[44120, 188220, 419086]"
7,"[339761, 232019]"
8,"[400689, 349227]"
9,"[552048, 391722]"
10,"[284793, 64865, 125925]"
11,"[382581, 100694, 290424, 379369, 184479]"
12,"[438523, 437670]"
13,"[133685, 114661, 520903, 410282, 307023]"
14,"[366076, 12734, 28671]"
15,"[492466, 106606]"
16,"[104626, 181971, 37559, 194990, 185279]"
17,"[62080, 486682, 205147, 118204]"
18,"[422808, 516461]"
19,"[352063, 541039]"
20,"[125300, 9765, 528239]"
21,"[192192, 75598, 13479]"
22,"[299877, 152271]"
23,"[345592, 425876, 484599]"
24,"[2088, 117725]"
25,"[521721, 532714]"
26,"[129891, 88964, 100260, 429387, 393547, 431086, 407728, 282800, 180560, 454512, 522712, 360699, 272540]"
27,"[373904, 58332]"
28,"[57581, 308910]"
29,"[172168, 517689, 424699]"
30,"[261424, 546517]"
31,"[251474, 296661, 296246, 255709, 337198]"
32,"[120828, 389086]"
33,"[253314, 556195, 359902]"
34,"[296460, 215812, 99967]"
35,"[551952, 308132, 365844, 136885]"
36,"[242245, 80550, 438535]"
37,"[349057, 143988]"
38,"[360977, 181412, 50198, 43521]"
39,"[416890, 506701]"
40,"[482912, 180329, 357421]"
41,"[503297, 432489, 520908, 448717, 105036, 73395, 325207, 328024, 165275, 101375]"
42,"[421210, 535627, 76270]"
43,"[332609, 253961]"
44,"[258875, 340635, 287847]"
45,"[541797, 558733]"
46,"[456416, 95025, 222053, 384949, 491193]"
47,"[58722, 495868]"
48,"[12464, 78537, 556255]"
49,"[247554, 332364]"
50,"[521401, 180691, 103332]"
51,"[326669, 498822]"
52,"[254800, 360419, 467907, 188171, 191631]"
53,"[40361, 171827, 289716, 424697]"
54,"[365116, 376606]"
55,"[402629, 5301]"
56,"[530713, 569955]"
57,"[261519, 545130, 19301, 310911]"
58,"[519794, 446894, 438166]"
59,"[282139, 149811, 236715, 1061]"
60,"[184152, 273, 218158, 17007]"
61,"[140388, 530319]"
62,"[129203, 519447, 109109, 377647]"
63,"[384387, 565123, 564775]"
64,"[260612, 22279]"
65,"[156936, 130908, 188925]"
66,"[440545, 262055, 275133, 275307, 298717]"
67,"[107773, 91229, 117582, 101783]"
68,"[401709, 269078, 538279]"
69,"[558896, 23798]"
70,"[530832, 445558]"
71,"[387226, 542087]"
72,"[535208, 416986]"
73,"[71496, 263604, 507911, 287416, 413499]"
74,"[58881, 487746, 142654]"
75,"[442073, 43443]"
