Node,Triangles
191305,0
261775,0
165310,0
359025,0
529367,0
543502,0
569630,0
346382,0
36585,0
33668,0
331443,0
332237,0
367203,0
471175,0
148519,0
110065,0
505747,0
528449,0
438706,0
280101,0
92287,0
200039,0
193221,0
109785,0
250917,0
70918,0
452239,0
130189,0
140396,0
334144,0
467389,0
454993,0
349230,0
472054,0
359682,0
379220,0
191993,0
168898,0
394047,0
433440,0
241467,0
556736,0
482469,0
345582,0
289314,0
206874,0
191960,0
162359,0
299207,0
340084,0
499492,0
269941,0
40041,0
482196,0
507705,0
43449,0
358567,0
86231,0
479806,0
236959,0
533617,0
570940,0
244663,0
81997,0
42888,0
64264,0
532964,0
535148,0
183672,0
390740,0
494524,0
129457,0
277123,0
260799,0
131644,0
517547,0
394870,0
20245,0
374129,0
279842,0
534432,0
482953,0
223102,0
50270,0
75474,0
531260,0
139138,0
417744,0
571190,0
130703,0
156650,0
300577,0
432926,0
394579,0
125420,0
219025,0
215391,0
457040,0
210614,0
569588,0
353590,0
16462,0
225504,0
348716,0
188220,0
44120,0
232019,0
339761,0
209031,0
542001,0
400689,0
349227,0
560316,0
202933,0
120754,0
131239,0
391722,0
552048,0
321877,0
559197,0
318290,1
1774,1
355800,0
469803,0
284793,0
125925,0
290424,0
100694,0
366202,0
496535,0
365374,0
128511,0
76794,0
440486,0
404454,0
75854,0
324153,0
108387,0
162636,0
87402,0
334662,0
171731,0
167163,0
337900,0
437670,0
438523,0
573351,0
11448,0
268774,0
513496,0
133685,0
410282,0
49548,0
126243,0
28671,0
366076,0
279436,0
49365,1
379557,0
496380,0
492466,0
106606,0
436996,0
275036,0
174532,0
210532,0
128895,0
465204,0
474720,0
496019,0
236913,0
228257,0
273800,0
95088,0
185279,0
104626,0
357800,0
463328,0
205147,0
118204,0
422808,0
516461,0
310422,0
519653,0
255710,0
435824,0
352063,0
541039,0
37817,0
339308,0
6793,0
525362,0
159378,0
471786,0
480196,0
480241,0
408589,0
445096,0
132874,0
470633,0
9765,0
125300,0
75598,0
13479,0
299877,0
152271,0
425876,0
345592,0
117725,0
2088,0
374374,0
316006,0
165252,0
251124,0
57410,0
224136,0
521721,0
532714,0
88964,0
129891,0
536811,0
436627,1
373904,0
58332,0
308910,0
57581,0
339862,0
363005,0
424699,0
517689,0
280020,0
164754,0
426844,0
422823,0
466991,0
512429,0
283528,0
419475,0
546517,0
261424,0
384059,0
345047,0
318603,0
107357,0
378547,1
499830,1
284409,0
27669,0
258421,1
54695,1
220784,0
259891,0
114457,0
214448,0
520835,0
89893,0
209692,1
506907,1
383772,0
452337,0
300160,0
414717,0
255709,0
337198,0
575854,2
203898,1
458317,0
185863,1
246037,0
273665,0
454804,0
152248,0
207850,0
198982,0
26227,0
376392,0
137329,0
334448,0
539124,0
318407,0
274754,1
69165,0
295510,0
517877,0
525913,0
345350,0
468162,0
126013,0
435440,0
482165,0
456918,0
362829,0
166230,0
564155,0
446941,1
137612,1
111401,0
247756,0
43162,0
542729,1
407371,0
138641,0
489248,0
160118,0
430941,0
129018,0
389086,0
120828,0
556195,0
359902,0
423373,0
284149,0
16214,0
175658,0
564823,0
492387,0
566818,0
191275,0
262320,0
430985,1
234507,0
363852,0
99967,0
296460,0
319998,0
529962,0
93793,0
48295,0
551952,0
308132,0
200105,0
121687,0
206399,1
200718,1
114931,0
401994,0
242245,0
80550,0
145371,0
105201,0
394815,0
565109,0
228435,0
477030,0
548286,0
301078,0
228815,0
244658,0
133436,0
379891,0
338100,0
48031,0
25777,0
468492,0
82375,0
461279,0
502828,0
499247,0
552201,0
82859,0
343798,0
241092,0
68373,0
298065,0
349057,0
143988,0
284698,0
38888,0
483780,0
444802,0
521705,0
457333,0
360977,0
50198,0
416890,0
506701,0
2317,0
493422,0
482912,0
357421,0
134177,0
241156,0
242101,0
152070,0
509866,0
328135,1
556149,0
525812,0
356346,0
217877,0
112741,0
454594,0
333425,0
458466,0
520908,0
165275,0
347115,0
206205,0
555085,0
232483,0
260621,0
455872,0
252153,0
439432,0
59890,0
471793,0
307773,0
155243,0
396799,0
406410,0
510253,0
331980,0
564507,0
267059,0
441011,0
112242,0
189082,0
387471,0
535627,0
421210,0
104822,0
341270,0
276982,0
313004,0
152069,0
438477,0
297509,0
235957,0
147722,0
172012,0
253961,0
332609,0
385366,0
472697,0
272051,0
439465,0
258875,0
287847,0
558733,0
541797,0
319831,0
545217,0
75344,0
453216,0
491193,0
384949,0
41649,0
362423,0
87281,0
246045,0
249679,0
462680,0
478160,0
258663,0
498531,0
546400,0
520190,0
537896,0
243526,0
197188,1
58722,0
495868,0
98752,0
530984,0
432792,0
169725,0
1377,0
311111,0
78537,0
556255,0
341441,0
275072,0
332364,0
247554,0
213420,0
357590,0
11176,0
402557,0
167241,0
81434,0
6735,0
18383,0
40374,0
488814,0
470691,0
184206,0
338413,0
83993,0
434855,0
547622,0
371869,0
304517,0
203615,0
391690,0
275639,0
47364,0
415589,0
168845,0
521401,0
180691,0
97474,0
